epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.353,1.3849,2.15999,1.57574,0.44276,0.41754,0.41849,0.22338,1.47771,2.65142,1.77938,0.000547118,0.000547118,0.000547118
2,340.938,1.36377,1.64447,1.52303,0.40521,0.4734,0.4215,0.21484,1.56737,2.45048,1.90212,0.0010482,0.0010482,0.0010482
3,504.339,1.35869,1.55334,1.52549,0.38523,0.41874,0.29962,0.11944,1.89791,2.58745,2.18081,0.00149426,0.00149426,0.00149426
4,669.073,1.35899,1.46456,1.52843,0.50534,0.59945,0.51303,0.26202,1.69127,2.19371,1.88667,0.00141945,0.00141945,0.00141945
5,834.42,1.34873,1.37897,1.49928,0.6975,0.57911,0.64801,0.34417,1.57137,1.62352,1.83497,0.00133693,0.00133693,0.00133693
6,1002.8,1.3521,1.30458,1.50881,0.65528,0.66717,0.67726,0.37441,1.54894,1.55087,1.82153,0.00125442,0.00125442,0.00125442
7,1168.15,1.31784,1.29618,1.48425,0.63704,0.65372,0.61782,0.31581,1.64519,1.74133,1.87951,0.0011719,0.0011719,0.0011719
8,1338.34,1.28378,1.21497,1.46366,0.76999,0.69296,0.75778,0.43859,1.47594,1.29601,1.65293,0.00108938,0.00108938,0.00108938
9,1506.65,1.23994,1.12581,1.43037,0.65989,0.68789,0.71763,0.41817,1.512,1.37867,1.69943,0.00100687,0.00100687,0.00100687
10,1674.55,1.22336,1.11885,1.43765,0.71224,0.70113,0.72707,0.43435,1.42059,1.42055,1.6546,0.000924352,0.000924352,0.000924352
11,1839.52,1.13173,1.06988,1.45037,0.67464,0.73706,0.75006,0.43878,1.45041,1.41685,1.63102,0.000841835,0.000841835,0.000841835
12,2004.62,1.10604,0.98961,1.42567,0.84143,0.55041,0.73426,0.44919,1.41019,1.30881,1.59435,0.000759318,0.000759318,0.000759318
13,2170.57,1.05767,0.91964,1.39682,0.73811,0.74024,0.76597,0.46807,1.34361,1.13836,1.54549,0.000676802,0.000676802,0.000676802
14,2331.45,1.0393,0.86234,1.36874,0.71351,0.73682,0.74767,0.45052,1.35666,1.15437,1.5681,0.000594286,0.000594286,0.000594286
15,2490.8,1.0295,0.84144,1.37197,0.77776,0.77233,0.81741,0.5236,1.31901,1.10583,1.53607,0.000511769,0.000511769,0.000511769
16,2651.34,0.9821,0.79703,1.34066,0.82803,0.7278,0.80449,0.51639,1.29518,1.05754,1.50641,0.000429253,0.000429253,0.000429253
17,2810.94,0.98413,0.78348,1.32974,0.80766,0.75299,0.81757,0.52489,1.27568,1.02742,1.48013,0.000346736,0.000346736,0.000346736
18,2971.68,0.97627,0.75946,1.31842,0.8278,0.73202,0.81493,0.52184,1.2856,1.04299,1.49515,0.00026422,0.00026422,0.00026422
19,3112.47,0.93223,0.71327,1.30696,0.80588,0.75316,0.81921,0.52399,1.29185,0.99561,1.50342,0.000181703,0.000181703,0.000181703
20,3230.22,0.93905,0.72507,1.29513,0.84147,0.7278,0.82654,0.53156,1.28091,1.00543,1.5039,9.91865e-05,9.91865e-05,9.91865e-05
